screen_name;user_id;full_name;party;location;created_at
Uwe_Schulz_AfD;19177808;Uwe Schulz;AfD;Berlin, Deutschland;2009-01-19 09:02:11
cem_oezdemir;19108766;Cem Özdemir;B90/Die Grünen;Stuttgart/Berlin;2009-01-17 12:30:36
HBraun;19108071;Dr. Helge Braun;CDU;Berlin und Gießen;2009-01-17 11:45:46
KatjaSuding;18880634;KatjaSuding;FDP;Hamburg;2009-01-11 21:36:34
rainerspiering;18668620;Rainer Spiering;SPD;Bad Rothenfelde, Germany;2009-01-06 09:39:17
f_schaeffler;18189342;Frank Schäffler;FDP;Ostwestfalen-Lippe;2008-12-17 14:10:38
DennisRohde;18160122;Dennis Rohde;SPD;;2008-12-16 10:44:02
MariaKlSchmeink;18103366;Maria Klein-Schmeink;B90/Die Grünen;Münster;2008-12-13 19:27:20
Otto_Fricke;18044683;Otto Fricke;FDP;Krefeld / Berlin,  Deutschland;2008-12-11 09:50:36
jimmyschulz;18000943;Jimmy Schulz;FDP;München, Berlin, Berchtesgaden;2008-12-09 20:14:10
smuellermdb;17960911;Stefan Müller;CSU;Erlangen;2008-12-08 11:34:51
ManuelSarrazin;17922403;Manuel Sarrazin;B90/Die Grünen;Harburg an der Elbe;2008-12-06 14:31:27
K_SA;17870195;Kordula Schulz-Asche;B90/Die Grünen;Berlin, Eschborn;2008-12-04 15:40:59
KonstantinNotz;17752770;Konstantin von Notz;B90/Die Grünen;Schleswig-Holstein und Berlin;2008-11-30 11:20:58
MartinSchulz;17675072;Martin Schulz;SPD;;2008-11-27 10:49:00
torstenherbst;17561226;Torsten Herbst;FDP;Dresden;2008-11-22 19:02:47
christianduerr;17535941;Christian Dürr;FDP;Berlin / Ganderkesee;2008-11-21 13:20:23
ManuelHoeferlin;17483463;Manuel Höferlin;FDP;Rheinhessen und Berlin;2008-11-19 10:16:23
larscastellucci;17469649;Lars Castellucci;SPD;Wiesloch;2008-11-18 20:02:03
florian_toncar;17462171;Florian Toncar;FDP;Berlin, Deutschland;2008-11-18 10:55:06
ulle_schauws;17363943;Ulle Schauws;B90/Die Grünen;Krefeld, Nordrhein-Westfalen;2008-11-13 12:29:30
sven_kindler;17343047;Sven Kindler;B90/Die Grünen;;2008-11-12 16:51:14
SteffiLemke;17229513;Steffi Lemke;B90/Die Grünen;;2008-11-07 11:07:46
svenlehmann;16706236;Sven Lehmann;B90/Die Grünen;Köln/Berlin;2008-10-12 09:09:29
tpflueger;16696924;Tobias Pflueger;Die Linke;;2008-10-11 15:25:31
nouripour;16674128;Omid Nouripour;B90/Die Grünen;Frankfurt/Germany;2008-10-09 21:23:15
anked;16557497;Anke Domscheit-Berg;Die Linke;Germany;2008-10-02 10:12:46
wanderwitz;16361044;Marco Wanderwitz;CDU;Hohenstein-Ernstthal;2008-09-19 08:33:36
solms;16325209;Hermann Otto Solms;FDP;Lich, Berlin;2008-09-17 07:49:56
larsklingbeil;16255941;Lars Klingbeil;SPD;Munster, Niedersachsen, D;2008-09-12 12:58:06
hubertus_heil;15943222;Hubertus Heil;SPD;Peine, Gifhorn, Berlin;2008-08-22 10:14:26
katdro;15722010;Katharina Dröge;B90/Die Grünen;;2008-08-04 13:32:56
MatthiasHoehn;15686106;Matthias Höhn;Die Linke;Altmark, Magdeburg, Berlin;2008-08-01 05:44:01
johannesvogel;15630931;Johannes Vogel;FDP;Berlin / NRW;2008-07-28 12:19:51
FabioDeMasi;14784765;Fabio De Masi;B90/Die Grünen;Hamburg St. Pauli (Quiddje);2008-05-15 11:26:35
theliberalfrank;984048002967982080;Frank Müller-Rosentritt;FDP;Chemnitz, Sachsen;2018-04-11 12:38:21
JoernKoenigAfD;960974630709284864;Jörn König;AfD;Berlin, Deutschland;2018-02-06 20:33:00
BijanDjir;960463104537657344;Bijan Djir-Sarai;FDP;Rhein-Kreis Neuss;2018-02-05 10:40:23
FrStraetmanns;959059951523106816;Friedrich Straetmanns;Die Linke;;2018-02-01 13:44:45
katharina_kloke;958634602905718785;Katharina Kloke;FDP;;2018-01-31 09:34:34
KirstenKappert;955357684013953025;Kirsten Kappert-Gonther;B90/Die Grünen;Bremen, Deutschland;2018-01-22 08:33:16
TillMansmann;954049866283483136;Till Mansmann;FDP;Heppenheim (Bergstraße);2018-01-18 17:56:28
SilberhornMdB;951489275312443392;Thomas Silberhorn;CSU;Deutschland;2018-01-11 16:21:35
JudithSkudelny;948958759560376320;Judith Skudelny;FDP;;2018-01-04 16:46:13
Mi_Muentefering;947740210036641793;Michelle Müntefering;SPD;Berlin, Deutschland;2018-01-01 08:04:09
Jacobi_AfD;944181149424898048;Fabian Jacobi;AfD;Köln;2017-12-22 12:21:42
margit_stumpp;943082490482262016;Margit Stumpp;B90/Die Grünen;Ostalbkreis/Landkreis Heidenheim & Berlin;2017-12-19 11:36:02
MdB_Schreiber;940585440746328064;Eva-Maria Schreiber;Die Linke;Berlin, Germany;2017-12-12 14:13:39
Frank_Magnitz;940532615177752576;Frank Magnitz;AfD;Bremen, Deutschland;2017-12-12 10:43:44
EstherDilcher;939092636165689345;Esther Dilcher;SPD;Hofgeismar;2017-12-08 11:21:46
MBiadaczMdB;935815000006053888;Marc Biadacz;CDU;Direkt gewählter Bundestagsabgeordneter für den Wahlkreis Böblingen;2017-11-29 10:17:37
busen_mdb;935554963639558145;Karlheinz Busen;FDP;Berlin, Deutschland;2017-11-28 17:04:19
G_UllrichFDP;935456332655874048;Gerald Ullrich;FDP;Thüringen, Deutschland;2017-11-28 10:32:24
Philipp_Amthor;934016327567790080;Philipp Amthor;CDU;Berlin / Vorpommern;2017-11-24 11:10:20
MieruchMario;932931561015730176;Mario Mieruch;AfD;;2017-11-21 11:19:51
Schmidt_MdB;930725836482928640;Stefan Schmidt;B90/Die Grünen;;2017-11-15 09:15:06
reuther_bernd;930422173478608903;Bernd Reuther;FDP;Wese;2017-11-14 13:08:27
axel_knoerig;928974816220254208;Axel Knoerig;CDU;Kirchdorf, Berlin;2017-11-10 13:17:10
MdB_Freihold;925703909825548288;Brigitte Freihold;Die Linke;Pirmasens, Deutschland;2017-11-01 12:39:45
reinholdmdb;925657781759332353;Hagen Reinhold;FDP;Berlin, Deutschland;2017-11-01 09:36:27
ChrWirthMdB;920193967937019904;Dr. Christian Wirth;AfD;Saarbrücken, Deutschland;2017-10-17 07:45:13
Martin_Sichert;918405860862382082;Martin Sichert;AfD;;2017-10-12 09:19:55
JuergenBraunAfD;917756296555892736;Jürgen Braun;AfD;Waiblingen, Deutschland;2017-10-10 14:18:46
HartmutEbbing;916950563815870464;Hartmut Ebbing;FDP;Berlin, Deutschland;2017-10-08 08:57:05
olafinderbeek;913327957602693121;Olaf In der Beek;FDP;;2017-09-28 09:02:08
SiemtjeMoeller;912243750809817089;Siemtje Moeller;SPD;;2017-09-25 09:13:53
SteffenKotre;912223443231428609;Steffen Kotré;AfD;Deutschland;2017-09-25 07:53:11
koehler_fdp;898597063444877313;Lukas Köhler;FDP;München, Bayern;2017-08-18 17:26:49
EspendillerM;885167849685340161;Michael Espendiller;AfD;;2017-07-12 16:03:55
SchaeferCDU;874474169106395136;Anita Schäfer;CDU;Rheinland-Pfalz, Deutschland;2017-06-13 03:51:03
carina_konrad;874304935906729986;Carina Konrad;FDP;Rheinland-Pfalz, Deutschland;2017-06-12 16:38:35
CorinnaMiazga;868762469115846657;Corinna Miazga;AfD;Straubing, Deutschland;2017-05-28 09:34:48
NKleinwaechter;865920519668989955;Norbert Kleinwächter;AfD;Berlin, Deutschland;2017-05-20 13:21:54
S_Muenzenmaier;863657874941255684;Sebastian Münzenmaier;AfD;Deutschland;2017-05-14 07:30:58
sandra_weeser;858362895075340288;Sandra Weeser;FDP;Betzdorf im Wahlkreis Neuwied/Altenkirchen & Berlin;2017-04-29 16:50:36
GottfriedCurio;848618993015500802;Dr. Gottfried Curio;AfD;;2017-04-02 19:31:49
Nienaber_Ralf;846065373044707328;Ralf Nienaber;AfD;Dinslaken, Deutschland;2017-03-26 18:24:38
RitaHaglKehl;836553428042141697;Rita Hagl-Kehl;SPD;Deggendorf, Deutschland;2017-02-28 12:27:34
Rene_Springer;831541837965967361;René Springer;AfD;Potsdam, Deutschland;2017-02-14 16:33:18
c_bernstiel;830085678063030273;Christoph Bernstiel;CDU;Halle (Saale), Deutschland;2017-02-10 16:07:02
VoepelDirk;829029719941246978;Dirk Vöpel;SPD;;2017-02-07 18:11:02
HoubenReinhard;825069798140833794;Reinhard Houben;FDP;Köln, Deutschland;2017-01-27 19:55:43
hans_michelbach;824221646290616321;Hans Michelbach;CSU;Coburg, Bayern;2017-01-25 11:45:28
M_HarderKuehnel;815699423057637381;Mariana Harder-Kühnel;AfD;Gelnhausen, Hessen;2017-01-01 23:21:12
JoanaCotar;814970546366611457;Joana Cotar;AfD;Hessen, Deutschland;2016-12-30 23:04:54
mischrodi;806975237766135813;Michael Schrodi;SPD;Olching, Deutschland;2016-12-08 21:34:24
Dr_Rainer_Kraft;804064797977444352;Dr. Rainer Kraft;AfD;Augsburg-Land;2016-11-30 20:49:21
Tino_Chrupalla;797137333820784640;Tino Chrupalla;AfD;Sachsen;2016-11-11 18:02:05
Paul_Podolay;774308243124391937;Paul Podolay;AfD;Erlangen, Deutschland;2016-09-09 18:07:26
Bruno_Hollnagel;760883080416616450;Dr. Bruno Hollnagel;AfD;Stormarn, Schleswig-Holstein;2016-08-03 17:00:37
Karsten_Hilse;760184727752077314;Karsten Hilse;AfD;Bautzen, Deutschland;2016-08-01 18:45:37
Marcus_Buehl;729360191263780867;Marcus Bühl;AfD;Thüringen, Deutschland;2016-05-08 17:19:55
Jochen_Haug;717077328669646849;Jochen Haug;AfD;Köln, Deutschland;2016-04-04 19:52:12
CarstenTraeger;3577737256;Carsten Träger;SPD;Fürth, Bayern;2015-09-07 14:21:51
vonGottberg_AfD;3412973404;Wilhelm von Gottberg;AfD;Niedersachsen, Deutschland;2015-08-10 15:30:55
Jan_Nolte_AfD;3408940048;Jan Nolte;AfD;Waldeck, Deutschland;2015-08-08 17:13:12
Gminder_AfD;3386357374;Franziska Gminder;AfD;Baden-Württemberg, Deutschland;2015-07-21 20:14:47
HessenkemperAfD;3386315381;Prof. Dr. Heiko Hessenkemper;AfD;Mittelsachsen, Sachsen;2015-07-21 20:24:33
Herrmann_AfD;3386302239;Lars Herrmann;AfD;Leipzig-Land;2015-07-21 20:52:14
WaldemarHerdt;3384824825;Waldemar Herdt;AfD;Osnabrück-Land;2015-07-20 19:02:56
Ulrich_Oehme;3384795790;Ulrich Oehme;AfD;Chemnitzer Umland;2015-07-20 17:50:22
PeterFelser;3384789731;Peter Felser;AfD;Lindenberg im Allgäu;2015-07-20 18:34:15
Friedhoff_AfD;3383505179;Dietmar Friedhoff;AfD;Neustadt am Rübenberge;2015-07-19 19:44:17
Thomas_Ehrhorn;3242322815;Thomas Ehrhorn;AfD;Niedersachsen, Deutschland;2015-05-08 19:41:04
JensKestnerAfD;3242258055;Jens Kestner;AfD;Niedersachsen, Deutschland;2015-05-08 19:25:16
Siegbert_Droese;3184216371;Siegbert Dröse;AfD;Leipzig, Deutschland;2015-04-19 19:12:45
Heiko_Wildberg;3183992596;Dr. Heiko Wildberg;AfD;Südpfalz;2015-04-19 17:46:38
Nicole_Hoechst;3105025175;Nicole Höchst;AfD;Rheinland-Pfalz, Deutschland;2015-03-22 15:50:41
BerndBaumannAfD;3043727333;Bernd Baumann;AfD;Hamburg, Deutschland;2015-02-17 21:57:24￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿
